id,pm2_5
id_ihxgrbq8bw,52.96794575218465
id_dg6s4fhiwe,51.007812894637425
id_f7hwwtmuzp,55.284892042900545
id_ioese5awdg,59.076316823771435
id_hdw320zpls,52.90091870076136
id_wnxl0jyxdm,48.355883469640595
id_irr46cfvrz,41.46323793333304
id_l3lg8y1tar,53.385359660523385
id_9bzncgu7ap,52.86598929468951
id_tq8gz80e59,60.603294273441804
id_gouch6j71l,52.90091870076136
id_gvg6pup3v5,45.89822389987567
id_xsyh8m7o0c,53.355887613055266
id_hsr9nym75x,44.2200723206135
id_kk2mprzws5,52.98096572448849
id_zztb716ruj,54.747277599168896
id_nc37c47azq,48.919292972336216
id_aq2zwrpazm,42.07102673755888
id_1if5noe1b4,55.3105826534946
id_9ch9qgghhp,54.3795729275379
id_i8ez1ppqtt,53.57508994916959
id_1gzede3sx1,53.54489855266173
id_c0cjjirgpf,55.15940536428613
id_y3cgdjsgq1,45.55958234169453
id_hqfk9eb7i3,59.30749322886306
id_heuv8vkjh4,44.4376216599583
id_fcoot945yi,41.027484688449704
id_h4j7gdpygc,42.20884893045057
id_0z5dftxu4p,55.15940536428613
id_0l3lpe7b09,55.15940536428613
id_q51pjcyt8q,53.56688151279267
id_5y5tak334a,53.01928008673952
id_ffpap9n3bi,49.83333417415426
id_wlrkf9c15k,51.653022898747345
id_i2rh9ih3f4,40.32725351261891
id_uqm3krxam7,41.660373048990614
id_3iwa156mvm,44.0675293718169
id_1lz3s1bdxs,53.077579608948575
id_jmqt01idjp,43.121494589156065
id_8gb7nw0rmx,41.70396128154024
id_4xwo0p10w6,46.18305877713027
id_m5bwlzsq1q,51.59456327155622
id_z4d44hh4z0,41.541943474832415
id_pmh6yxhfva,43.389383815933066
id_35d6qsok4a,49.83333417415426
id_77htjr9yc8,43.44066181201919
id_t8vdruehat,53.95344138256008
id_jckj5zjs3u,44.9628994909438
id_iaz7r7qv9z,44.9628994909438
id_uifln55ls5,43.7616489381592
id_d32frejzqm,40.43744843041579
id_exdub9ncvr,40.688154863989574
id_mxkrqowab2,47.1338614493632
id_y8ho5r6i9n,41.41399732429484
id_fiygo06opn,50.17630534673096
id_o3dfdr4sk8,48.444171512906614
id_akv54mqumg,46.84480549843316
id_h24kmkoube,23.831738911896032
id_x3hkwvtuum,37.463101634850204
id_w5yebgnpv0,45.399968641505474
id_0sqrmgfxq8,17.511491000836582
id_af7sxbklj4,16.819830315579214
id_hv5isckfyd,17.90411850514845
id_ghg0lmyh5v,19.312041568552665
id_wpckthcmjz,27.560470889539168
id_u8j139024n,16.82808234702888
id_1jadvwi51a,22.145608406530613
